Organisasjonsnummer,Navn,Antall Ansatte,Næringskoder,Kommune,Adresse,Overordnet Enhet,Driftsresultat Overordnet Enhet,Vedtektsfestet Formål,Aktivitet,Overordnet Enhet Navn
931252194,MOVA NYBORG,,93.130,BERGEN,Liavegen 1,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
918193219,MOVA SANDSLI FANA,,93.130,BERGEN,Aurdalslia 10,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
995569337,MOVA ULSET ÅSANE,34,93.130,BERGEN,Hesthaugvegen 18,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
931252437,MOVA YTRE ARNA,,93.130,BERGEN,Peter Jebsens veg 13,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
817430422,MUDO GYM ÅSANE AS,,93.130,BERGEN,Storbotn 108,917374937,-21206.00,Drift av treningssenter. Salg av treningutstyr.,Drift av treningssenter. Salg av treningutstyr.,MUDO GYM ÅSANE AS
999366139,MUREN SOL Mario Braun,,93.130,BERGEN,Østre Murallmenningen 4,953885476,Feil ved henting,N/A,Handel.,MUREN SOL Mario Braun
931695673,NEXT DANMARKSPLASS AS,,93.130,BERGEN,Solheimsgaten 23C,931654845,77805.00,"Å eie, drive og utvikle treningssenter, samt drive med salg av, produkter, tjenester og andre virksomhetsområder som er beslektet til, dette.",Drift av treningssenter.,NEXT DANMARKSPLASS AS
930307696,NHHI FITNESS,,93.130,BERGEN,Helleveien 30,930304816,Feil ved henting,N/A,"NHHI Fitness er et lavterskel tilbud for folk som liker en god, treningsøkt. Vi tilbyr organiserte treningsøkter for våre medlemmer på, senter, samt et miljø for å fremme trening og fysisk aktivitet. I, tillegg verdsetter gruppen det sosiale aspektet vel så mye, der særlig, trivsel og samhold fremheves.",NHHI FITNESS
921066147,NORSK TRENINGSHELSE AS,,93.130,BERGEN,Litleåsvegen 47,820956702,-4525743.00,"Helsestudio og annen trenings- og helserelatert virksomhet, herunder, med allmenn- og idrettsmedisinske tjenester, samt alt annet som, naturlig er knyttet til dette, herunder investeringer i andre foretak.","Helsestudio og annen trenings- og helserelatert virksomhet, herunder, med allmenn- og idrettsmedisinske tjenester, samt alt annet som, naturlig er knyttet til dette, herunder investeringer i andre foretak.",NORSK TRENINGSHELSE AS
933791696,OSLO FIT AS,,93.130,BERGEN,Ekerdalen 11G,933773310,Feil ved henting,"Drift av treningssenter samt tjenester innen trening og helse og alle, andre produkter og tjenester som faller naturlig sammen med dette,, herunder kjøp og salg av aksjer eller på annen måte gjøre seg, interessert i andre foretak relatert til dette.",Treningssenter.,OSLO FIT AS
980009092,PILATES BODYCONTROL,,93.130,BERGEN,Strandgaten 10,980004775,Feil ved henting,N/A,Helsestudio.,PILATES BODYCONTROL v/Kjersti Johansen
923600434,PROGRESJON TRENING AS,12,93.130,BERGEN,Krokatjønnveien 15,923568204,1177984.00,Treningssenter,Treningssenter,PROGRESJON TRENING AS
992884053,SAMMEN TRENING,171,93.130,BERGEN,Villaveien 10,960033590,80309000.00,"Velferdsorganisasjon for studenter i h.h.t. lov av, 9. mai 1986 nr 19.","Velferdsorganisasjon for studenter i h.h.t. lov av, 9. mai 1986 nr 19.",STUDENTSAMSKIPNADEN PÅ VESTLANDET
879196752,SATS BERGEN,68,93.130,BERGEN,Lars Hilles gate 29,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
923091297,SATS DANMARKSPLASS,16,93.130,BERGEN,Solheimsgaten 58,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
923092048,SATS LAGUNEN,38,93.130,BERGEN,Laguneveien 1,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
929214196,SATS OASEN,20,93.130,BERGEN,Folke Bernadottes vei 52,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
881989182,SATS SANDVIKEN,35,93.130,BERGEN,Måseskjæret 3,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
989494260,SATS VEST AS AVD DAMSGÅRD,46,93.130,BERGEN,Damsgårdsveien 135,948942003,117056580.00,"Drift av treningssenter og det som i den, forbindelse synes naturlig.","Drive helsestudio samt hva hermed står i forbind-, else.",SATS VEST AS
972074276,SATS VEST AS AVD KOKSTAD,44,93.130,BERGEN,Kokstadvegen 25B,948942003,117056580.00,"Drift av treningssenter og det som i den, forbindelse synes naturlig.","Drive helsestudio samt hva hermed står i forbind-, else.",SATS VEST AS
972053341,SATS VEST AS AVD SATS NESTTUN,98,93.130,BERGEN,Apeltunvegen 8,948942003,117056580.00,"Drift av treningssenter og det som i den, forbindelse synes naturlig.","Drive helsestudio samt hva hermed står i forbind-, else.",SATS VEST AS
982335159,SATS VESTKANTEN,48,93.130,BERGEN,Loddefjordveien 2,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
921699883,SATS WERGELAND TERRASSE,26,93.130,BERGEN,Storetveitvegen 6,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
